UAD layout act_box (9.0, 34.0) body_short (5.0, 30.0)
UAD CHECK bodies 41 | THREE-WAY candidates 1 | overlapping bodies of different kind 71 | phantom round bodies 228 | uncovered apex-to-apex triangle pairs 6
  phantom (8, 'BUTTERFLY', [394, 302, 398, 685], 3.5, [222.0, 161.3])
  phantom (8, 'BUTTERFLY', [240, 531, 535, 534], 3.0, [156.2, 139.4])
  phantom (8, 'BUTTERFLY', [405, 362, 408, 718], 3.5, [162.2, 193.7])
  phantom (8, 'BUTTERFLY', [240, 531, 536, 534], 3.0, [166.7, 129.6])
  phantom (8, 'BUTTERFLY', [394, 136, 398, 491], 3.5, [162.0, 193.5])
  phantom (8, 'BUTTERFLY', [394, 157, 397, 439], 3.0, [149.4, 132.4])
  phantom (8, 'BUTTERFLY', [405, 136, 408, 491], 3.5, [161.9, 193.6])
  phantom (8, 'BUTTERFLY', [405, 157, 408, 446], 3.0, [149.4, 138.9])
  phantom (8, 'BUTTERFLY', [240, 160, 535, 163], 3.0, [156.2, 139.4])
  phantom (8, 'BUTTERFLY', [209, 151, 654, 155], 3.5, [197.7, 247.4])
  phantom (8, 'BUTTERFLY', [240, 160, 536, 163], 3.0, [166.7, 129.6])
  phantom (8, 'BUTTERFLY', [337, 195, 714, 198], 3.5, [221.2, 154.9])
  phantom (8, 'BUTTERFLY', [458, 195, 840, 198], 3.5, [163.3, 219.5])
  phantom (8, 'BUTTERFLY', [700, 221, 702, 425], 2.1, [101.5, 102.6])
  phantom (8, 'BUTTERFLY', [700, 592, 702, 796], 2.1, [101.3, 102.8])
  phantom (8, 'BUTTERFLY', [558, 374, 562, 745], 3.5, [193.5, 177.5])
  phantom (8, 'BUTTERFLY', [592, 425, 595, 796], 3.5, [181.9, 189.1])
  phantom (8, 'BUTTERFLY', [322, 160, 784, 163], 3.5, [215.5, 247.4])
  phantom (8, 'BUTTERFLY', [337, 180, 692, 183], 3.5, [199.6, 154.7])
  phantom (8, 'BUTTERFLY', [375, 531, 786, 534], 3.5, [161.6, 248.7])
  phantom (8, 'BUTTERFLY', [337, 551, 695, 554], 3.5, [199.6, 157.6])
  phantom (9, 'BUTTERFLY', [629, 236, 632, 576], 3.5, [172.3, 167.6])
  phantom (9, 'BUTTERFLY', [242, 731, 627, 734], 3.5, [201.7, 183.8])
  phantom (9, 'BUTTERFLY', [557, 136, 808, 138], 2.1, [129.4, 121.1])
  phantom (9, 'BUTTERFLY', [689, 411, 691, 627], 2.1, [96.6, 118.9])
  phantom (9, 'BUTTERFLY', [480, 530, 849, 534], 3.5, [213.0, 156.1])
  phantom (9, 'BUTTERFLY', [712, 197, 715, 567], 3.5, [183.2, 187.1])
  phantom (9, 'BUTTERFLY', [208, 140, 551, 144], 3.5, [185.5, 158.0])
  phantom (9, 'BUTTERFLY', [234, 170, 557, 174], 3.5, [159.8, 163.8])
  phantom (9, 'BUTTERFLY', [208, 507, 553, 511], 3.5, [185.5, 159.8])
  phantom (9, 'BUTTERFLY', [234, 536, 564, 539], 3.5, [158.1, 172.3])
  phantom (9, 'BUTTERFLY', [416, 120, 420, 446], 3.5, [164.6, 160.8])
  phantom (9, 'BUTTERFLY', [416, 157, 419, 446], 3.0, [149.0, 139.4])
  phantom (9, 'BUTTERFLY', [427, 120, 430, 481], 3.5, [164.6, 196.7])
  phantom (9, 'BUTTERFLY', [416, 346, 420, 673], 3.5, [164.7, 162.0])
  phantom (9, 'BUTTERFLY', [427, 347, 430, 673], 3.5, [164.3, 162.0])
  phantom (9, 'BUTTERFLY', [416, 136, 420, 482], 3.5, [161.9, 184.2])
  phantom (9, 'BUTTERFLY', [427, 157, 430, 481], 3.0, [148.9, 175.3])
  phantom (9, 'BUTTERFLY', [427, 136, 430, 481], 3.5, [161.9, 183.8])
  phantom (9, 'BUTTERFLY', [240, 160, 556, 163], 3.0, [177.9, 138.7])
  phantom (9, 'BUTTERFLY', [240, 160, 558, 163], 3.0, [188.4, 129.7])
  phantom (9, 'BUTTERFLY', [416, 346, 420, 717], 3.5, [177.7, 193.3])
  phantom (9, 'BUTTERFLY', [240, 531, 563, 534], 3.0, [178.1, 144.8])
  phantom (9, 'BUTTERFLY', [427, 347, 430, 718], 3.5, [177.2, 193.8])
  phantom (9, 'BUTTERFLY', [240, 531, 563, 534], 3.0, [188.6, 134.3])
  phantom (9, 'BUTTERFLY', [652, 186, 1012, 189], 3.5, [155.6, 204.1])
  phantom (9, 'BUTTERFLY', [647, 557, 1007, 560], 3.5, [161.0, 199.2])
  phantom (9, 'BUTTERFLY', [480, 195, 868, 198], 3.5, [176.0, 212.2])
  phantom (9, 'BUTTERFLY', [506, 566, 868, 569], 3.5, [155.0, 207.1])
  phantom (9, 'BUTTERFLY', [704, 197, 706, 425], 2.1, [125.5, 102.7])
  phantom (9, 'BUTTERFLY', [704, 568, 706, 796], 2.1, [125.6, 102.6])
  phantom (9, 'BUTTERFLY', [621, 409, 625, 780], 3.5, [198.4, 172.6])
  phantom (9, 'BUTTERFLY', [382, 159, 808, 162], 3.5, [175.3, 250.7])
  phantom (9, 'BUTTERFLY', [343, 531, 808, 534], 3.5, [220.7, 243.9])
  phantom (9, 'BUTTERFLY', [359, 550, 722, 554], 3.5, [204.8, 158.2])
  phantom (19, 'BUTTERFLY', [810, 167, 812, 394], 2.1, [94.5, 132.6])
  phantom (19, 'BUTTERFLY', [661, 255, 852, 257], 2.1, [97.7, 93.4])
  phantom (19, 'BUTTERFLY', [786, 230, 788, 448], 2.1, [92.5, 125.1])
  phantom (19, 'BUTTERFLY', [432, 377, 435, 700], 3.1, [161.4, 162.0])
  phantom (19, 'BUTTERFLY', [692, 502, 915, 504], 2.1, [118.5, 103.9])
  phantom (19, 'BUTTERFLY', [185, 286, 553, 289], 3.1, [212.3, 155.4])
  phantom (19, 'BUTTERFLY', [443, 500, 766, 504], 3.5, [167.5, 155.7])
  phantom (19, 'BUTTERFLY', [390, 500, 738, 504], 3.5, [177.6, 170.3])
  phantom (19, 'BUTTERFLY', [360, 379, 767, 383], 3.5, [250.4, 156.8])
  phantom (19, 'BUTTERFLY', [360, 379, 738, 383], 3.5, [207.1, 170.3])
  phantom (19, 'BUTTERFLY', [402, 259, 735, 263], 3.5, [164.7, 168.0])
  phantom (19, 'BUTTERFLY', [390, 270, 693, 273], 3.1, [152.3, 151.0])
  phantom (19, 'BUTTERFLY', [336, 136, 339, 485], 3.0, [195.9, 153.4])
  phantom (19, 'BUTTERFLY', [67, 140, 395, 143], 3.1, [143.2, 184.3])
  phantom (19, 'BUTTERFLY', [427, 181, 430, 538], 3.5, [174.4, 182.8])
  phantom (19, 'BUTTERFLY', [711, 207, 715, 648], 3.8, [223.8, 217.3])
  phantom (20, 'BUTTERFLY', [825, 102, 829, 412], 3.5, [154.6, 155.9])
  phantom (20, 'BUTTERFLY', [825, 130, 829, 437], 3.5, [154.5, 152.5])
  phantom (20, 'BUTTERFLY', [560, 154, 563, 485], 3.5, [169.2, 162.1])
  phantom (20, 'BUTTERFLY', [560, 132, 563, 485], 3.5, [169.3, 183.3])
  phantom (20, 'BUTTERFLY', [560, 111, 563, 485], 3.5, [169.1, 204.7])
  phantom (21, 'BUTTERFLY', [768, 194, 770, 424], 2.1, [96.2, 133.0])
  phantom (21, 'BUTTERFLY', [436, 579, 814, 582], 3.5, [188.2, 190.6])
  phantom (21, 'BUTTERFLY', [722, 580, 920, 582], 2.1, [102.7, 95.3])
  phantom (21, 'BUTTERFLY', [553, 572, 903, 575], 3.5, [195.0, 154.9])
  phantom (21, 'BUTTERFLY', [693, 570, 909, 572], 2.1, [119.8, 96.2])
  phantom (21, 'BUTTERFLY', [234, 305, 536, 308], 3.1, [160.3, 141.5])
  phantom (21, 'BUTTERFLY', [366, 294, 771, 297], 3.5, [237.6, 167.4])
  phantom (21, 'BUTTERFLY', [366, 294, 736, 297], 3.5, [192.0, 177.8])
  phantom (21, 'BUTTERFLY', [539, 138, 542, 505], 3.1, [168.5, 199.2])
  phantom (21, 'BUTTERFLY', [280, 129, 283, 474], 3.0, [191.5, 153.4])
  phantom (21, 'BUTTERFLY', [196, 319, 486, 322], 3.0, [129.7, 160.2])
  phantom (21, 'BUTTERFLY', [204, 125, 208, 472], 3.5, [155.7, 191.0])
  phantom (21, 'BUTTERFLY', [220, 350, 614, 353], 3.5, [196.0, 198.8])
  phantom (21, 'BUTTERFLY', [1061, 81, 1063, 275], 2.1, [95.8, 98.2])
  phantom (21, 'BUTTERFLY', [305, 257, 528, 259], 2.2, [116.4, 106.2])
  phantom (21, 'BUTTERFLY', [293, 595, 613, 598], 3.1, [138.8, 181.9])
  phantom (23, 'BUTTERFLY', [770, 182, 994, 184], 2.1, [92.2, 131.8])
  phantom (23, 'BUTTERFLY', [770, 303, 1001, 305], 2.1, [92.2, 138.1])
  phantom (23, 'BUTTERFLY', [599, 294, 945, 297], 3.5, [171.4, 174.9])
  phantom (23, 'BUTTERFLY', [512, 301, 830, 304], 3.5, [155.8, 162.3])
  phantom (23, 'BUTTERFLY', [747, 410, 1086, 413], 3.5, [181.9, 157.5])
  phantom (23, 'BUTTERFLY', [770, 432, 961, 434], 2.1, [92.2, 98.9])
  phantom (23, 'BUTTERFLY', [599, 423, 929, 427], 3.5, [171.4, 158.5])
  phantom (23, 'BUTTERFLY', [729, 295, 945, 297], 2.1, [98.7, 117.3])
  phantom (23, 'BUTTERFLY', [760, 419, 961, 421], 2.1, [93.5, 108.2])
  phantom (23, 'BUTTERFLY', [365, 301, 770, 304], 3.5, [234.0, 171.4])
  phantom (23, 'BUTTERFLY', [377, 430, 770, 434], 3.5, [222.3, 171.4])
  phantom (23, 'BUTTERFLY', [783, 408, 1116, 412], 3.5, [178.8, 155.0])
  phantom (23, 'BUTTERFLY', [229, 149, 233, 489], 3.5, [162.6, 177.8])
  phantom (23, 'BUTTERFLY', [563, 231, 945, 234], 3.5, [179.7, 202.4])
  phantom (23, 'BUTTERFLY', [742, 166, 746, 540], 3.5, [186.6, 186.7])
  phantom (25, 'BUTTERFLY', [203, 63, 206, 424], 3.2, [208.9, 151.5])
  phantom (25, 'BUTTERFLY', [254, 63, 257, 434], 3.2, [208.9, 161.3])
  phantom (25, 'BUTTERFLY', [647, 63, 650, 422], 3.2, [162.3, 196.2])
  phantom (25, 'BUTTERFLY', [410, 290, 763, 293], 3.2, [178.5, 174.2])
  phantom (25, 'BUTTERFLY', [170, 325, 173, 702], 3.2, [182.5, 194.7])
  phantom (25, 'BUTTERFLY', [358, 63, 361, 470], 3.2, [230.7, 176.1])
  phantom (25, 'BUTTERFLY', [203, 241, 206, 536], 3.2, [148.3, 146.7])
  phantom (25, 'BUTTERFLY', [456, 63, 459, 438], 3.2, [212.5, 161.9])
  phantom (25, 'BUTTERFLY', [415, 244, 419, 548], 3.2, [149.7, 154.3])
  phantom (25, 'BUTTERFLY', [456, 244, 459, 612], 3.2, [149.7, 218.1])
  phantom (25, 'BUTTERFLY', [369, 355, 373, 702], 3.2, [162.4, 184.8])
  phantom (25, 'BUTTERFLY', [346, 490, 797, 493], 3.2, [226.9, 224.1])
  phantom (25, 'BUTTERFLY', [445, 276, 448, 702], 3.2, [219.3, 206.5])
  phantom (26, 'BUTTERFLY', [129, 340, 537, 344], 3.5, [210.7, 197.0])
  phantom (26, 'BUTTERFLY', [304, 248, 709, 251], 3.5, [152.9, 252.7])
  phantom (26, 'BUTTERFLY', [289, 225, 626, 229], 3.5, [155.1, 181.3])
  phantom (26, 'BUTTERFLY', [474, 110, 478, 466], 3.5, [181.0, 175.2])
  phantom (26, 'BUTTERFLY', [355, 319, 718, 322], 3.5, [162.4, 201.1])
  phantom (26, 'BUTTERFLY', [355, 340, 742, 344], 3.5, [186.5, 201.1])
  phantom (26, 'BUTTERFLY', [449, 225, 831, 229], 3.5, [200.8, 181.4])
  phantom (26, 'BUTTERFLY', [711, 342, 714, 734], 3.5, [203.6, 188.5])
  phantom (26, 'BUTTERFLY', [178, 580, 498, 583], 3.5, [163.7, 156.6])
  phantom (26, 'BUTTERFLY', [385, 258, 388, 670], 3.5, [177.1, 234.2])
  phantom (26, 'BUTTERFLY', [434, 227, 438, 632], 3.5, [208.3, 197.0])
  phantom (26, 'BUTTERFLY', [508, 258, 511, 598], 3.5, [177.1, 162.6])
  phantom (26, 'BUTTERFLY', [356, 223, 360, 602], 3.5, [212.0, 166.7])
  phantom (26, 'BUTTERFLY', [266, 578, 701, 581], 3.5, [243.5, 191.6])
  phantom (27, 'BUTTERFLY', [598, 640, 935, 644], 3.5, [178.5, 158.9])
  phantom (27, 'BUTTERFLY', [622, 659, 999, 663], 3.5, [154.2, 223.2])
  phantom (29, 'BUTTERFLY', [264, 194, 266, 411], 2.1, [106.2, 110.8])
  phantom (29, 'BUTTERFLY', [195, 593, 425, 595], 2.1, [92.0, 137.3])
  phantom (30, 'BUTTERFLY', [486, 151, 707, 153], 2.1, [105.8, 114.5])
  phantom (30, 'BUTTERFLY', [424, 172, 707, 174], 2.1, [133.2, 149.5])
  phantom (30, 'BUTTERFLY', [452, 398, 666, 400], 2.1, [101.0, 112.1])
  phantom (30, 'BUTTERFLY', [368, 393, 624, 395], 2.1, [134.3, 121.8])
  phantom (30, 'BUTTERFLY', [87, 398, 309, 400], 2.1, [100.9, 120.9])
  phantom (30, 'BUTTERFLY', [103, 419, 309, 421], 2.1, [104.4, 101.9])
  phantom (30, 'BUTTERFLY', [432, 638, 631, 640], 2.1, [100.6, 99.3])
  phantom (30, 'BUTTERFLY', [631, 638, 844, 640], 2.1, [101.5, 110.9])
  phantom (30, 'BUTTERFLY', [754, 419, 1014, 422], 2.1, [127.3, 132.7])
  phantom (30, 'BUTTERFLY', [109, 151, 338, 153], 2.1, [103.1, 125.8])
  phantom (30, 'BUTTERFLY', [129, 172, 338, 174], 2.1, [102.1, 106.9])
  phantom (30, 'BUTTERFLY', [630, 398, 846, 400], 2.1, [100.6, 115.0])
  phantom (30, 'BUTTERFLY', [547, 393, 772, 395], 2.1, [132.9, 92.3])
  phantom (30, 'BUTTERFLY', [576, 419, 810, 421], 2.1, [122.4, 111.1])
  phantom (30, 'BUTTERFLY', [802, 661, 1018, 663], 2.1, [111.2, 104.7])
  phantom (30, 'BUTTERFLY', [274, 398, 488, 400], 2.1, [101.0, 112.9])
  phantom (30, 'BUTTERFLY', [182, 393, 446, 395], 2.1, [142.7, 121.9])
  phantom (30, 'BUTTERFLY', [298, 151, 520, 153], 2.1, [103.1, 119.8])
  phantom (30, 'BUTTERFLY', [205, 146, 481, 148], 2.1, [146.3, 129.5])
  phantom (30, 'BUTTERFLY', [318, 172, 520, 174], 2.1, [102.1, 100.8])
  phantom (30, 'BUTTERFLY', [260, 172, 486, 174], 2.1, [110.7, 115.7])
  phantom (31, 'BUTTERFLY', [362, 574, 583, 577], 2.1, [106.3, 114.5])
  phantom (31, 'BUTTERFLY', [362, 595, 627, 598], 2.8, [125.2, 139.0])
  apexpair (20, [801, 568, 806, 576])
  apexpair (20, [759, 534, 764, 542])
  apexpair (20, [583, 568, 588, 576])
  apexpair (20, [363, 587, 368, 595])
  apexpair (20, [208, 579, 213, 588])
  apexpair (20, [148, 579, 153, 588])
  3way (25, [726, 510, 736, 515], 'NONE', [729, 512, 734, 517])
  overlap (7, 'GATE', [590, 177, 599, 182], 'BUTTERFLY', [424, 178, 764, 181], 'NONE', 'NONE')
  overlap (7, 'GATE', [590, 177, 599, 182], 'BUTTERFLY', [546, 176, 746, 178], 'NONE', 'NONE')
  overlap (7, 'GATE', [590, 177, 599, 182], 'BUTTERFLY', [512, 178, 819, 181], 'NONE', 'NONE')
  overlap (7, 'GATE', [608, 177, 617, 182], 'BUTTERFLY', [424, 178, 764, 181], 'PNEUMATIC', 'NONE')
  overlap (7, 'GATE', [608, 177, 617, 182], 'BUTTERFLY', [546, 176, 746, 178], 'PNEUMATIC', 'NONE')
  overlap (7, 'GATE', [608, 177, 617, 182], 'BUTTERFLY', [512, 178, 819, 181], 'PNEUMATIC', 'NONE')
  overlap (7, 'GATE', [626, 177, 635, 182], 'BUTTERFLY', [424, 178, 764, 181], 'PNEUMATIC', 'NONE')
  overlap (7, 'GATE', [626, 177, 635, 182], 'BUTTERFLY', [546, 176, 746, 178], 'PNEUMATIC', 'NONE')
  overlap (7, 'GATE', [626, 177, 635, 182], 'BUTTERFLY', [512, 178, 819, 181], 'PNEUMATIC', 'NONE')
  overlap (7, 'CHECK', [643, 177, 652, 182], 'BUTTERFLY', [424, 178, 764, 181], 'NONE', 'NONE')
  overlap (7, 'CHECK', [643, 177, 652, 182], 'BUTTERFLY', [546, 176, 746, 178], 'NONE', 'NONE')
  overlap (7, 'CHECK', [643, 177, 652, 182], 'BUTTERFLY', [642, 180, 644, 412], 'NONE', 'NONE')
  overlap (7, 'CHECK', [643, 177, 652, 182], 'BUTTERFLY', [512, 178, 819, 181], 'NONE', 'NONE')
  overlap (7, 'CHECK', [459, 201, 464, 209], 'BUTTERFLY', [347, 200, 552, 202], 'NONE', 'NONE')
  overlap (7, 'GLOBE', [376, 434, 385, 439], 'BUTTERFLY', [379, 257, 382, 740], 'NONE', 'NONE')
  overlap (7, 'GLOBE', [420, 438, 428, 443], 'BUTTERFLY', [417, 246, 420, 556], 'NONE', 'NONE')
  overlap (7, 'GLOBE', [420, 438, 428, 443], 'BUTTERFLY', [417, 399, 420, 710], 'NONE', 'NONE')
  overlap (7, 'GLOBE', [420, 438, 428, 443], 'BUTTERFLY', [417, 246, 420, 636], 'NONE', 'NONE')
  overlap (7, 'GLOBE', [420, 438, 428, 443], 'BUTTERFLY', [417, 246, 420, 626], 'NONE', 'NONE')
  overlap (7, 'GLOBE', [376, 739, 385, 744], 'BUTTERFLY', [379, 257, 382, 740], 'NONE', 'NONE')
  overlap (8, 'CHECK', [237, 149, 242, 158], 'BUTTERFLY', [209, 151, 654, 155], 'NONE', 'NONE')
  overlap (8, 'CHECK', [665, 508, 670, 516], 'BUTTERFLY', [542, 507, 786, 509], 'NONE', 'NONE')
  overlap (9, 'CHECK', [687, 137, 692, 145], 'BUTTERFLY', [557, 136, 808, 138], 'NONE', 'NONE')
  overlap (9, 'CHECK', [697, 689, 705, 694], 'BUTTERFLY', [704, 568, 706, 796], 'NONE', 'NONE')
  overlap (19, 'CHECK', [809, 382, 818, 387], 'BUTTERFLY', [810, 167, 812, 394], 'NONE', 'NONE')
  overlap (19, 'GATE', [420, 494, 429, 499], 'BUTTERFLY', [427, 181, 430, 538], 'NONE', 'NONE')
