TC2 layout act_box (9.0, 34.0) body_short (5.0, 30.0)
TC2 CHECK bodies 90 | THREE-WAY candidates 0 | overlapping bodies of different kind 189 | phantom round bodies 534 | uncovered apex-to-apex triangle pairs 15
  phantom (13, 'BUTTERFLY', [310, 433, 523, 437], 3.2, [75.1, 138.4])
  phantom (13, 'BUTTERFLY', [236, 459, 385, 462], 3.2, [62.2, 86.2])
  phantom (13, 'BUTTERFLY', [236, 607, 385, 610], 3.2, [62.2, 86.2])
  phantom (13, 'BUTTERFLY', [468, 407, 783, 415], 7.1, [185.9, 128.3])
  phantom (13, 'BUTTERFLY', [613, 410, 808, 413], 4.0, [121.5, 72.7])
  phantom (14, 'BUTTERFLY', [358, 493, 610, 496], 3.5, [159.3, 92.8])
  phantom (14, 'BUTTERFLY', [519, 493, 686, 496], 3.5, [92.7, 74.5])
  phantom (14, 'BUTTERFLY', [724, 494, 798, 496], 2.0, [39.3, 35.3])
  phantom (14, 'BUTTERFLY', [519, 592, 686, 595], 3.5, [92.7, 74.5])
  phantom (14, 'BUTTERFLY', [686, 593, 798, 595], 2.0, [77.0, 35.3])
  phantom (14, 'BALL', [208, 282, 212, 516], 3.5, [141.1, 92.7])
  phantom (15, 'BUTTERFLY', [155, 184, 233, 186], 2.0, [39.9, 38.2])
  phantom (15, 'BUTTERFLY', [599, 525, 700, 527], 2.0, [49.3, 51.9])
  phantom (15, 'BUTTERFLY', [594, 171, 710, 174], 3.0, [60.8, 55.7])
  phantom (15, 'BUTTERFLY', [155, 144, 237, 146], 2.0, [40.0, 42.1])
  phantom (15, 'BUTTERFLY', [205, 434, 277, 436], 2.0, [36.7, 35.0])
  phantom (15, 'BUTTERFLY', [168, 490, 303, 492], 2.0, [73.9, 60.5])
  phantom (15, 'BUTTERFLY', [483, 259, 554, 261], 2.0, [35.3, 35.2])
  phantom (15, 'BUTTERFLY', [576, 471, 580, 635], 3.8, [96.9, 67.3])
  phantom (16, 'BUTTERFLY', [269, 200, 405, 202], 2.0, [43.2, 92.9])
  phantom (16, 'BUTTERFLY', [207, 213, 363, 216], 3.5, [82.9, 73.1])
  phantom (16, 'BUTTERFLY', [477, 213, 625, 215], 2.0, [102.1, 45.8])
  phantom (16, 'BUTTERFLY', [562, 93, 564, 182], 2.0, [42.6, 46.3])
  phantom (16, 'BUTTERFLY', [562, 320, 564, 401], 2.0, [42.6, 37.8])
  phantom (16, 'BUTTERFLY', [477, 440, 625, 442], 2.0, [102.1, 45.8])
  phantom (16, 'BUTTERFLY', [425, 426, 824, 433], 7.1, [204.0, 195.2])
  phantom (16, 'BUTTERFLY', [207, 440, 361, 443], 3.5, [82.9, 71.3])
  phantom (16, 'BUTTERFLY', [269, 427, 405, 429], 2.0, [43.2, 93.1])
  phantom (16, 'BUTTERFLY', [562, 548, 564, 629], 2.0, [42.6, 39.0])
  phantom (16, 'BUTTERFLY', [406, 660, 487, 662], 2.0, [34.0, 47.1])
  phantom (16, 'BUTTERFLY', [477, 667, 625, 669], 2.0, [102.1, 45.8])
  phantom (16, 'BUTTERFLY', [462, 660, 551, 662], 2.0, [45.1, 44.2])
  phantom (16, 'BUTTERFLY', [269, 655, 405, 657], 2.0, [43.2, 93.3])
  phantom (16, 'BUTTERFLY', [207, 667, 362, 671], 3.5, [82.9, 71.9])
  phantom (17, 'BUTTERFLY', [759, 377, 761, 530], 2.0, [90.9, 63.0])
  phantom (17, 'BUTTERFLY', [699, 332, 838, 334], 2.0, [36.3, 102.9])
  phantom (17, 'BUTTERFLY', [671, 182, 752, 184], 2.0, [36.3, 44.5])
  phantom (17, 'BUTTERFLY', [690, 724, 781, 726], 2.0, [56.3, 35.5])
  phantom (17, 'BUTTERFLY', [715, 165, 807, 167], 2.0, [36.7, 55.1])
  phantom (17, 'BUTTERFLY', [717, 303, 719, 406], 2.0, [43.2, 59.8])
  phantom (17, 'BUTTERFLY', [794, 183, 801, 725], 7.1, [190.8, 350.9])
  phantom (17, 'BUTTERFLY', [708, 175, 807, 177], 2.0, [44.5, 55.1])
  phantom (17, 'BUTTERFLY', [749, 620, 823, 622], 2.0, [36.0, 37.6])
  phantom (17, 'BUTTERFLY', [703, 552, 705, 678], 2.0, [68.7, 57.5])
  phantom (17, 'BUTTERFLY', [693, 635, 823, 638], 3.2, [55.4, 74.0])
  phantom (17, 'BUTTERFLY', [693, 647, 823, 650], 3.2, [55.4, 74.0])
  phantom (17, 'BUTTERFLY', [733, 226, 740, 584], 7.1, [230.1, 127.9])
  phantom (18, 'BUTTERFLY', [233, 453, 410, 457], 4.4, [91.6, 86.0])
  phantom (18, 'BUTTERFLY', [258, 478, 545, 485], 6.9, [114.7, 172.3])
  phantom (18, 'BUTTERFLY', [258, 638, 545, 645], 6.9, [114.7, 172.3])
