data/pid_total.pdf {'tags': 198, 'leader_hits_nothing': 49, 'no_leader': 140, 'same': 9}
   p14  MOV   leaders=0 len=None  nearest=GLOBE  leader=None  neard=77.7
   p14  MOV   leaders=0 len=None  nearest=GLOBE  leader=None  neard=74.1
   p14  BPRV  leaders=0 len=None  nearest=GATE  leader=None  neard=46.6
   p16  PSV   leaders=0 len=None  nearest=GLOBE  leader=None  neard=92.7
   p16  MOV   leaders=0 len=None  nearest=GATE  leader=None  neard=54.8
   p16  MOV   leaders=0 len=None  nearest=GATE  leader=None  neard=54.7
   p16  MOV   leaders=0 len=None  nearest=GATE  leader=None  neard=54.8
   p16  PSV   leaders=0 len=None  nearest=CHECK  leader=None  neard=45.6
   p16  PSV   leaders=0 len=None  nearest=GLOBE  leader=None  neard=91.0
   p16  LCV   leaders=0 len=None  nearest=GATE  leader=None  neard=55.2
   p16  FCV   leaders=0 len=None  nearest=GATE  leader=None  neard=45.2
   p16  LCV   leaders=0 len=None  nearest=GATE  leader=None  neard=50.2
   p17  PSV   leaders=0 len=None  nearest=CHECK  leader=None  neard=52.4
   p17  TCV   leaders=3 len=48.6  nearest=GLOBE  leader=None  neard=65.9
   p17  LCV   leaders=0 len=None  nearest=GATE  leader=None  neard=54.3
   p17  PRV   leaders=0 len=None  nearest=GATE  leader=None  neard=58.7
   p17  TCV   leaders=0 len=None  nearest=GATE  leader=None  neard=49.6
   p17  TCV   leaders=0 len=None  nearest=GATE  leader=None  neard=49.6
   p17  TCV   leaders=2 len=48.6  nearest=GLOBE  leader=None  neard=65.9
   p19  PSV   leaders=1 len=19.2  nearest=None  leader=None  neard=None
   p19  PSV   leaders=1 len=19.1  nearest=None  leader=None  neard=None
   p19  PSV   leaders=0 len=None  nearest=None  leader=None  neard=None
   p19  PSV   leaders=0 len=None  nearest=None  leader=None  neard=None
   p19  PSV   leaders=0 len=None  nearest=None  leader=None  neard=None
   p19  PSV   leaders=0 len=None  nearest=None  leader=None  neard=None
   p19  PSV   leaders=0 len=None  nearest=None  leader=None  neard=None
   p19  PSV   leaders=0 len=None  nearest=None  leader=None  neard=None
   p20  PSV   leaders=0 len=None  nearest=CHECK  leader=None  neard=56.8
   p20  MOV   leaders=0 len=None  nearest=GLOBE  leader=None  neard=51.0
   p20  PSV   leaders=0 len=None  nearest=GLOBE  leader=None  neard=77.9
   p20  MOV   leaders=0 len=None  nearest=GATE  leader=None  neard=56.3
   p21  FCV   leaders=0 len=None  nearest=GLOBE  leader=None  neard=56.3
   p21  XV    leaders=0 len=None  nearest=GLOBE  leader=None  neard=56.2
   p21  FCV   leaders=0 len=None  nearest=ANGLE  leader=None  neard=51.5
   p21  XV    leaders=0 len=None  nearest=GLOBE  leader=None  neard=57.4
   p21  PSV   leaders=0 len=None  nearest=CHECK  leader=None  neard=113.5
   p21  XV    leaders=0 len=None  nearest=GLOBE  leader=None  neard=56.2
   p21  PCV   leaders=0 len=None  nearest=GLOBE  leader=None  neard=49.7
   p21  XV    leaders=0 len=None  nearest=GLOBE  leader=None  neard=56.8
   p21  FCV   leaders=0 len=None  nearest=GLOBE  leader=None  neard=42.1
   p21  PSV   leaders=0 len=None  nearest=GLOBE  leader=None  neard=119.9
   p21  FCV   leaders=0 len=None  nearest=ANGLE  leader=None  neard=59.5
   p21  XV    leaders=0 len=None  nearest=GLOBE  leader=None  neard=56.9
   p21  XV    leaders=0 len=None  nearest=GLOBE  leader=None  neard=56.2
   p21  FCV   leaders=0 len=None  nearest=GLOBE  leader=None  neard=40.0
   p21  XV    leaders=0 len=None  nearest=GLOBE  leader=None  neard=45.0
   p25  PSV   leaders=0 len=None  nearest=CHECK  leader=None  neard=45.6
   p25  PSV   leaders=0 len=None  nearest=CHECK  leader=None  neard=51.9
   p26  MOV   leaders=3 len=126.4  nearest=BUTTERFLY  leader=None  neard=69.5
   p26  MOV   leaders=1 len=26.4  nearest=BUTTERFLY  leader=None  neard=69.5
   p26  HV    leaders=1 len=26.4  nearest=BUTTERFLY  leader=None  neard=69.5
   p26  HV    leaders=1 len=26.4  nearest=BUTTERFLY  leader=None  neard=69.5
   p27  MOV   leaders=0 len=None  nearest=BUTTERFLY  leader=None  neard=69.5
   p27  MOV   leaders=0 len=None  nearest=BUTTERFLY  leader=None  neard=69.5
   p27  HV    leaders=1 len=26.4  nearest=BUTTERFLY  leader=None  neard=69.5
   p27  HV    leaders=1 len=26.4  nearest=BUTTERFLY  leader=None  neard=69.5
   p28  PCV   leaders=0 len=None  nearest=GLOBE  leader=None  neard=73.1
   p28  MOV   leaders=3 len=126.4  nearest=BUTTERFLY  leader=None  neard=69.5
   p28  MOV   leaders=2 len=126.4  nearest=BUTTERFLY  leader=None  neard=69.4
   p31  PSV   leaders=0 len=None  nearest=CHECK  leader=None  neard=48.9
   p31  PSV   leaders=0 len=None  nearest=CHECK  leader=None  neard=53.4
   p31  PSV   leaders=0 len=None  nearest=CHECK  leader=None  neard=53.4
   p32  PSV   leaders=0 len=None  nearest=GATE  leader=None  neard=89.4
   p32  PSV   leaders=0 len=None  nearest=GATE  leader=None  neard=87.9
   p32  PSV   leaders=3 len=29.0  nearest=GATE  leader=None  neard=75.7
   p33  PSV   leaders=0 len=None  nearest=GATE  leader=None  neard=40.3
   p33  PSV   leaders=0 len=None  nearest=GLOBE  leader=None  neard=117.5
   p33  PSV   leaders=0 len=None  nearest=GATE  leader=None  neard=165.1
   p33  PCV   leaders=0 len=None  nearest=GATE  leader=None  neard=65.6
   p33  PSV   leaders=0 len=None  nearest=GATE  leader=None  neard=54.0
   p33  PSV   leaders=0 len=None  nearest=GATE  leader=None  neard=50.3
   p35  PSV   leaders=1 len=22.7  nearest=BUTTERFLY  leader=None  neard=102.3
   p35  XV    leaders=0 len=None  nearest=GLOBE  leader=None  neard=62.6
   p35  PSV   leaders=0 len=None  nearest=BUTTERFLY  leader=None  neard=90.1
   p35  PSV   leaders=0 len=None  nearest=BUTTERFLY  leader=None  neard=92.1
   p36  PSV   leaders=1 len=22.7  nearest=GATE  leader=None  neard=166.2
   p36  PSV   leaders=1 len=22.7  nearest=GATE  leader=None  neard=166.2
   p36  PSV   leaders=1 len=22.7  nearest=GATE  leader=None  neard=162.5
   p36  PSV   leaders=1 len=22.7  nearest=GATE  leader=None  neard=161.1
   p37  TCV   leaders=1 len=24.7  nearest=GLOBE  leader=None  neard=71.2
   p37  TCV   leaders=1 len=30.0  nearest=GLOBE  leader=GLOBE  neard=65.2
   p37  PSV   leaders=1 len=22.7  nearest=GATE  leader=None  neard=159.8
   p37  PSV   leaders=1 len=22.7  nearest=GATE  leader=None  neard=159.8
   p37  PSV   leaders=1 len=22.7  nearest=GATE  leader=None  neard=159.8
   p37  PSV   leaders=1 len=22.7  nearest=GATE  leader=None  neard=159.9
   p37  PSV   leaders=1 len=22.7  nearest=GATE  leader=None  neard=159.8
